As of Date,Fiscal Year,Region,Borrower Country / Economy,Borrower Country / Economy Code,Project ID,Project Name,Procurement Category,Procurement Method,Project Global Practice,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country / Economy,Supplier Country / Economy Code,Supplier Contract Amount (USD),Borrower Contract Reference Number,Review type,Supplier ID
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639616,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 16-LAIKIPIA COUNTY",04/26/2022,SIMPLE SECURITY SOLUTIONS LTD,Kenya,KE,59028.430000,KE-MOE-148811/16-CW-RFB,Prior,503291
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639617,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 18- KAJIADO COUNTY",04/26/2022,WAASO CONSTRUCTION LIMITED,Kenya,KE,925827.040000,KE-MOE-148811/18-CW-RFB,Prior,362672
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639619,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 26-KITUI COUNTY",04/26/2022,PINNIEE AGENCY LIMITED,Kenya,KE,2876031.260000,KE-MOE-148811-26-CW-RFB,Prior,503384
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639621,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 5-KISII COUNTY",04/26/2022,GLENN STEAM ENGINEERING WORKS LIMITED,Kenya,KE,1898018.140000,KE-MOE-148811/5-CW-RFB,Prior,503008
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639622,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 20- WAJIR COUNTY",04/26/2022,HASHIT CONSTRUCTION AND GENERAL SUPPLIES LIMITED,Kenya,KE,1915955.710000,KE-MOE-148811/20-CW-RFB,Prior,368688
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639623,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 24-MAKUENI COUNTY",04/26/2022,PARKLANE CONSTRUCTION LIMITED,Kenya,KE,5060894.480000,KE-MOE-148811/24-CW-RFB,Prior,502938
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639624,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 4- MIGORI COUNTY",04/26/2022,SAMAHA COMPANY LIMITED,Kenya,KE,2633466.730000,KE-MOE-148811/4-CW-RFB,Prior,502970
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639626,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 6- KAKAMEGA COUNTY",04/26/2022,CHAJU BUILDERS LIMITED,Kenya,KE,6343422.700000,KE-MOE-148811/6-CW-RFB,Prior,502928
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639627,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 21-MANDERA COUNTY",04/26/2022,DEROW CONSTRUCTION COMPANY,Kenya,KE,3466245.070000,KE-MOE-148811/21-CW-RFB,Prior,503381
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639628,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 27- TANA RIVER COUNTY",04/26/2022,MARANATHA PROPERTY CONSULT LTD,Kenya,KE,835289.320000,KE-MOE-148811- 27 -CW-RFB,Prior,503377
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639629,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 28-TAITA TAVETA COUNTY",04/26/2022,WAASO CONSTRUCTION LIMITED,Kenya,KE,177246.510000,KE-MOE-148811/28-CW-RFB,Prior,362672
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639630,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 29-KWALECOUNTY",04/26/2022,ALHAMDUU ENTERPRISES LIMITED,Kenya,KE,2088687.490000,KE-MOE-148811/26-CW-RFB,Prior,503287
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639632,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 30-KILIFI COUNTY",04/26/2022,ALL WEATHER INVESTMENT CO. LTD,Kenya,KE,4065760.000000,KE-MOE-148811/30-CW-RFB,Prior,503392
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639642,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 7- WEST POKOT COUNTY",04/26/2022,PACIFIC GENERAL WORKS LIMITED,Kenya,KE,4426574.000000,KE-MOE-148811/7-CW-RFB,Prior,472562
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639643,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 8- TURKANA COUNTY",04/26/2022,KINDE ENGINEERING WORKS LIMITED,Kenya,KE,3378459.460000,KE-MOE-148811/8-CW-RFB,Prior,502995
01/02/2026,2022,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Works,Request for Bids,Education,1639647,"CONSTRUCTION OF CLASSROOMS, LABORATORIES AND SANITATION FACILITIES IN LOT 9- MURANGA COUNTY",04/26/2022,GLOBETEK SYSTEMS KENYA LIMITED,Kenya,KE,1308034.740000,KE-MOE-148811/9-CW-RFB,Prior,502897
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Bids,Agriculture,1639918,Proposed Construction of Kamariga Omena Drying Facility,12/15/2020,WINTOB ENTERPRISES,Kenya,KE,179351.430000,KE-SIAYA COUNTY-201837-CW-RFQ,Post,480566
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640010,PRINTING AND DELIVERY OF MOTHER BABY BOOKLETS,05/29/2020,TIANFU AFRICA INVESTMENT LIMITED,Kenya,KE,18434.990000,KE-KERICHO COUNTY-169788-GO-RFQ,Post,540609
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640022,"SUPPLY AND DELIVERY OF LAPTOPS, LCD PROJECTOR AND PRINTER SCANNER",01/31/2020,JELOKI COMPANY LIMITED,Kenya,KE,12267.710000,KE-KERICHO COUNTY-137337-GO-RFQ,Post,540615
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640051,SUPPLY AND DELIVERY OF WEIGHINGSCALES FOR LEVEL II AND III,03/17/2020,MAXLINK HEALTHCARE LTD,Kenya,KE,2267.710000,KE-KERICHO COUNTY-137211-GO-RFQ,Post,541983
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640062,SUPPLY AND DELIVERY OF ASSORTED FURNITURE FOR YOUTH FRIENDLY CENTRE AT LITEIN DISPENSARY,04/07/2020,SAM AND SAN VENTURES LTD,Kenya,KE,3063.480000,KE-KERICHO COUNTY-138982-GO-RFQ,Post,540650
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Works,Request for Quotations,Health,1640067,RENOVATION OF A ROOM AT LITEIN DISPENSARY,03/27/2020,TETEM LOGISTICS LTD,Kenya,KE,3679.210000,KE-KERICHO COUNTY-136972-CW-RFQ,Post,540745
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640734,"SUPPLY AND DELIVERY OF MOH COLLECTION, REPORTING AND REFERRAL TOOLS",01/29/2020,1. TITARD ENTERPRISE,Kenya,KE,51122.990000,KE-KERICHO COUNTY-85515-NC-RFQ,Post,541999
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640830,supply and delivery of fire fighting equipment.,12/11/2020,ENONDI ENTERPRISES,Kenya,KE,4345.840000,KE-TRANS NZOIA COUNTY-85260-GO-RFQ,Post,531890
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640850,Provision of signage services- Directional signs in heath service facilities.,12/08/2020,SONIKE COMPANY,Kenya,KE,3188.470000,KE-TRANS NZOIA COUNTY-85256-GO-RFQ,Post,531982
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P173065,Financing Locally-Led Climate Action Program,Consultant Services,Individual Consultant Selection,Public Admin;Social Protection,1640961,Consultancy for the Development of Program Operations Manual for the Financing Locally-Led Climate Action Program,12/24/2020,INDIVIDUAL CONSULTANT,null,null,63877.530000,KE-CFGEU-165131-CS-INDV,Post,null
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1640973,Supply and delivery of medical equipment,08/14/2020,SIBUMBA,Kenya,KE,15082.270000,CGTN/HLT/Q/15/2019/20,Post,542248
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1641792,SUPPLY AND DELIVERY OF PLUM TREE SEEDLINGS,04/28/2020,MORKISZIS GREEN VENTURES,Kenya,KE,13090.910000,KE-NAKURU COUNTY-204640-GO-RFQ,Post,544451
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Quotations,Water/Sanit/Waste,1642297,"SUPPLY, DELIVERY, AND INSTALLATION OF 30NO.10,000 LITRES PLASTIC WATER TANKS AND ASSOCIATED FITTINGS IN MALINDI,MAGARINI AND KILIFI NORTH SUB COUNTIES",02/09/2021,CLASSIC BUILDING WORKS LIMITED,Kenya,KE,71394.440000,KE-MAWASCO-182157-GO-RFQ,Post,478779
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1642692,Fencing of the changara water pan in Teso North,12/15/2020,ADVICO SERVICES,Kenya,KE,11277.000000,KE-BUSIA COUNTY-182335-CW-RFQ,Post,527270
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1642723,Piping of Block II for the Changara water pan irrigation system for improved food security,12/15/2020,MULUKORA INVESTMENT,Kenya,KE,28653.670000,KE-BUSIA COUNTY-182334-CW-RFQ,Post,527579
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1642757,Construction of a 2 door and a bathroom at Changara Water Pan,12/15/2020,ALFANTO,Kenya,KE,3139.750000,KE-BUSIA COUNTY-182336-CW-RFQ,Post,527971
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1642955,supply and delivery of 20 no. 125cc field motorcycles,10/26/2020,VIEWTEQ SUPPLIES LIMITED,Kenya,KE,64088.730000,KE-KIRINYAGA COUNTY-167903-GO-RFQ,Post,546801
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1643311,SUPPLY AND DELIVERY OF 1NO. TRUCK MOUNTED CRANE,12/21/2020,A&A UNIVERSAL SHOPPING & GENERAL SUPPLIERS LTD,Kenya,KE,134091.700000,KE-GAWASCO-174461-GO-RFB,Post,499688
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1643528,SUPPLY AND DELIVERY OF CTD (COUNTY TECHNICAL DEPARTMENT) TOOLS AND EQUIPMENT FOR AGRICULTURE DEPARTMENT-NARIGP PROJECT,12/17/2020,CHAOLIN ENTERPRISES LIMITED,Kenya,KE,48957.330000,KE-KIRINYAGA COUNTY-197192-GO-RFQ,Post,548155
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1644769,"BOREHOLE DRILLING AND EQUIPPING FOR THE POULTRY PARK AT MUDEMBI/ BUJWANG'A, BUNYALA NORTH WARD, BUNYALA SUB -COUNTY, BUSIA COUNTY",12/28/2020,MEGA LASER INTERNATIONAL,Kenya,KE,40609.110000,KE-BUSIA COUNTY-200942-CW-RFQ,Post,519773
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1644793,"BOREHOLE DRILLING AND EQUIPPING FOR THE POULTRY PARK HATCHERY AT ASIRIAM CHAKOL SOUTH WARD, TESO SOUTH SUB-COUNTY",12/28/2020,HANAL INVESTMENT,Kenya,KE,40681.890000,KE-BUSIA COUNTY-200479-CW-RFQ,Post,535226
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Works,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1644973,RENOVATION OF OFFICE BLOCK,02/21/2020,TREVIAN INVESTMENTS,Kenya,KE,8394.080000,KE-KITUI COUNTY-119937-CW-RFQ,Post,550983
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Works,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1644973,RENOVATION OF OFFICE BLOCK,02/21/2020,VANIKI EVENTS COMPANY,Kenya,KE,8394.080000,KE-KITUI COUNTY-119937-CW-RFQ,Post,550997
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Direct Selection,Agriculture;Public Admin;Industry & Trade/Ser,1645303,"DESIGN, SUPPLY, INSTALLATION AND COMMISSIONING OF MILK PROCESSING EQUIPMENT FOR NANDI CO-OPERATIVE CREAMERIES DAIRY PLANT IN KABIYET – NANDI COUNTY",06/08/2020,ALPES INDUSTRIES SERVICES INTERNATIONAL,United Arab Emirates,AE,1051648.000000,KE-NANDI COUNTY-156198-GO-DIR,Post,476337
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Consultant Services,Individual Consultant Selection,Info & Communication;Transportation;Industry & Trade/Ser,1645437,Consulting Services of Stakeholder Liaison Officer (Individual Consultant) for Upgrading of Kainuk Bridge Loichangamatak-Lodwar-Nadapal -Nakodok A1 Road,02/12/2021,INDIVIDUAL CONSULTANT,null,null,689938.510000,KE-KENHA-72389-CS-INDV,Prior,null
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1645631,KE-TAVEVO-104736-CS-QCBS-Consultancy services,12/28/2020,RUNJI & PARTNERS CONSULTING ENGINEERS LTD,Kenya,KE,3930602.410000,KE-TAVEVO-104736-CS-QCBS,Prior,427100
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1645770,"Consultancy Services for provision of Financial Management, procurement, monitoring and evaluation, safeguards and engineering services",03/18/2021,GATH CONSULTING ENGINEERS,Kenya,KE,677019.820000,MOWS-WSDP-01-2017-2018,Prior,393874
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1645770,"Consultancy Services for provision of Financial Management, procurement, monitoring and evaluation, safeguards and engineering services",03/18/2021,LOSAI MANAGEMENT LTD.,Kenya,KE,677019.820000,MOWS-WSDP-01-2017-2018,Prior,477806
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1645770,"Consultancy Services for provision of Financial Management, procurement, monitoring and evaluation, safeguards and engineering services",03/18/2021,WIA EAST AFRICA,Kenya,KE,697535.570000,MOWS-WSDP-01-2017-2018,Prior,804035
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1645780,"CONSULTANCY SERVICES FOR DESIGN REVIEW & SUPERVISION OF IMMEDIATE WATER AND SANITATION WORKS; AND PREPARATION OF DETAILED DESIGNS, BIDDING DOCUMENTS AND ENVIRONMENTAL AND SOCIAL SAFEGUARDS INSTRUMENTS",02/15/2021,RUNJI & PARTNERS CONSULTING ENGINEERS LTD,Kenya,KE,2433620.660000,KE-GAWASCO-67422-CS-QCBS,Prior,427100
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1646035,"REVIEW OF DETAILED DESIGN, BIDDING DOCUMENTS, ENVIRONMENTAL AND SOCIAL SAFEGUARDS DOCUMENTS; CONSTRUCTION SUPERVISION OF WATER AND SANITATION WORKS CONTRACT AND TECHNICAL SUPPORT TO KIMAWASCO",02/17/2021,MANGAT I.B. PATEL LTD,Kenya,KE,575254.440000,KE-KIMAWASCO-74960-CS-QCBS,Prior,428522
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1646035,"REVIEW OF DETAILED DESIGN, BIDDING DOCUMENTS, ENVIRONMENTAL AND SOCIAL SAFEGUARDS DOCUMENTS; CONSTRUCTION SUPERVISION OF WATER AND SANITATION WORKS CONTRACT AND TECHNICAL SUPPORT TO KIMAWASCO",02/17/2021,CONSULTING ENGINEERS SALZGITTER (CES) CONSULTING ENGINEERS GMBH,Germany,DE,575254.440000,KE-KIMAWASCO-74960-CS-QCBS,Prior,428523
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1646192,"Mombasa Water Distribution Works for North Mainland (Short Term Works) Lot 1A, Contract No. KE-CWSB-150896-CW-RFB",03/23/2021,Toddy Civil Engineering co. Limited,Kenya,KE,8098116.140000,KE-CWSB-150896-CW-RFB,Prior,337518
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Direct Selection,Health,1646463,SUPPLY OF LEVONORGESTREL 75MG IMPLANTS SET,06/03/2020,BAYER PHARMA AG,Germany,DE,1555462.120000,KE-KEMSA-93525-GO-DIR,Prior,321173
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Goods,Request for Quotations,Health,1646810,PROCUREMENT OF OFFICE EQUIPMENTS,12/04/2019,MS SAGLA HOLDINGS LTD,Kenya,KE,2666.360000,KE-NAKURU COUNTY-193879-GO-RFQ,Post,554972
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P173820,KENYA COVID-19 HEALTH EMERGENCY RESPONSE PROJECT,Goods,Direct Selection,Health,1646957,SUPPLY OF TIANamp VIRUS DNA/RNA KIT,01/06/2021,BIO-ZEQ KENYA LTD,Kenya,KE,797581.620000,KE-KEMSA-205138-GO-DIR,Post,507074
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1647421,"KE-TAVEVO-151304-CW-RFB-UPGRADE OF WATER DISTRIBUTION SYSTEMS FOR VOI, TAVETA, MWATATE AND WUNDANYI TOWNS",03/11/2021,SUHUFI AGENCIES LTD,Kenya,KE,7962903.350000,KE-TAVEVO-151304-CW-RFB,Prior,511921
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Works,Request for Bids,Water/Sanit/Waste,1647639,Water Distribution Works in Mtwapa Town,04/09/2021,SOBETRA UGANDA LTD,Uganda,UG,7741614.920000,KE-KIMAWASCO-141042-CW-RFB,Prior,526151
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Non-consulting Services,Request for Quotations,Agriculture,1649090,Provision of Interim Weather Data Package - Kenya Agricultural Observatory Platform (KAOP),10/16/2020,AWHERE INC,United States,US,45600.000000,KE-MOALF-192047-NC-RFQ,Post,402215
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P151831,Kenya Youth Employment and Opportunities Project,Non-consulting Services,Request for Quotations,Education;Social Protection,1649118,Provision of Digital delivery of Business Development Services (BDS) and Entrepreneurship Aptitude Test (EAT),11/30/2020,FLAG FORTY TWO LTD,Kenya,KE,182200.880000,KE-MSEA-195920-NC-RFQ,Prior,560756
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P161305,Horn of Africa Gateway Development Project,Consultant Services,Quality And Cost-Based Selection,Info & Communication;Transportation,1649123,Consultancy Services for Delivery of Needs Assessment of Social Infrastructure and Social Services for the upgrading of Isiolo - Mandera.,12/23/2019,ALPEX CONSULTING AFRICA LIMITED,Kenya,KE,303832.290000,KE-KENHA-77223-CS-QCBS,Post,576176
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Goods,Request for Bids,Agriculture,1649128,SUPPLY AND DELIVERY OF SEEDS,02/12/2021,CICADULINA LIMITED,Kenya,KE,64486.480000,MOALF/KCSAP/UGC/RFB/02/2019/2020,Post,560736
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Goods,Request for Bids,Agriculture,1649128,SUPPLY AND DELIVERY OF SEEDS,02/12/2021,MOIBEN CONNECTIONS LIMITED,Kenya,KE,64486.480000,MOALF/KCSAP/UGC/RFB/02/2019/2020,Post,603467
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P121019,Kenya Infrastructure Finance/PPP project,Consultant Services,Quality And Cost-Based Selection,Public Admin;Financial Sector;Energy & Extractives;Transportation,1649309,Consultancy to Provide Transaction Advisory Services for the Procurement of a Tolling Operator for Kenya's First Mover Toll Roads PPP Programme,06/30/2021,PROFESSOR ALBERT MUMMA & COMPANY ADVOCATES,Kenya,KE,268276.400000,IFPPP/PPPU/36/2017-18,Prior,334637
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P121019,Kenya Infrastructure Finance/PPP project,Consultant Services,Quality And Cost-Based Selection,Public Admin;Financial Sector;Energy & Extractives;Transportation,1649309,Consultancy to Provide Transaction Advisory Services for the Procurement of a Tolling Operator for Kenya's First Mover Toll Roads PPP Programme,06/30/2021,KPMG ADVISORY SERVICES PRIVATE LIMITED,India,IN,268276.400000,IFPPP/PPPU/36/2017-18,Prior,353890
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P121019,Kenya Infrastructure Finance/PPP project,Consultant Services,Quality And Cost-Based Selection,Public Admin;Financial Sector;Energy & Extractives;Transportation,1649309,Consultancy to Provide Transaction Advisory Services for the Procurement of a Tolling Operator for Kenya's First Mover Toll Roads PPP Programme,06/30/2021,HATCH AFRICA (PTY) LIMITED,South Africa,ZA,268276.400000,IFPPP/PPPU/36/2017-18,Prior,354456
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P121019,Kenya Infrastructure Finance/PPP project,Consultant Services,Quality And Cost-Based Selection,Public Admin;Financial Sector;Energy & Extractives;Transportation,1649309,Consultancy to Provide Transaction Advisory Services for the Procurement of a Tolling Operator for Kenya's First Mover Toll Roads PPP Programme,06/30/2021,GOWLING WLG,Canada,CA,268276.400000,IFPPP/PPPU/36/2017-18,Prior,354457
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P121019,Kenya Infrastructure Finance/PPP project,Consultant Services,Quality And Cost-Based Selection,Public Admin;Financial Sector;Energy & Extractives;Transportation,1649309,Consultancy to Provide Transaction Advisory Services for the Procurement of a Tolling Operator for Kenya's First Mover Toll Roads PPP Programme,06/30/2021,KPMG EAST AFRICA LIMITED,Mauritius,MU,268276.400000,IFPPP/PPPU/36/2017-18,Prior,669301
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1649640,LAYING OF DISTRIBUTION PIPELINES (4000M) AT CHEMUSIAN USALAMA DAM,10/30/2019,DEKOSH LTD,Kenya,KE,8641.590000,KE-UASIN GISHU COUNTY-211061-CW-RFQ,Post,562009
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1649640,LAYING OF DISTRIBUTION PIPELINES (4000M) AT CHEMUSIAN USALAMA DAM,10/30/2019,ORICON CONSTRUCTION LIMITED,Kenya,KE,8641.590000,KE-UASIN GISHU COUNTY-211061-CW-RFQ,Post,562010
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1649640,LAYING OF DISTRIBUTION PIPELINES (4000M) AT CHEMUSIAN USALAMA DAM,10/30/2019,SAYATECH LOGISTIC LIMITED,Kenya,KE,8641.590000,KE-UASIN GISHU COUNTY-211061-CW-RFQ,Post,562027
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Works,Request for Quotations,Agriculture,1649640,LAYING OF DISTRIBUTION PIPELINES (4000M) AT CHEMUSIAN USALAMA DAM,10/30/2019,BIGON COMPANY LTD,Kenya,KE,8641.590000,KE-UASIN GISHU COUNTY-211061-CW-RFQ,Post,562032
01/02/2026,2021,Eastern and Southern Africa,Kenya,KE,P173065,Financing Locally-Led Climate Action Program,Consultant Services,Individual Consultant Selection,Public Admin;Social Protection,1649805,Consultancy Services for the Gender Expert for the Financing Locally-Led Climate Action Program,03/17/2021,INDIVIDUAL CONSULTANT,null,null,74283.090000,KE-CFGEU-175474-CS-INDV,Post,null
